,ethereum_address,ether_balance,unique_tokens,unique_transfers,mined_blocks
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,17960.597685080393,9900,117342,0
1,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,19345.14987217943,1718,54180,0
2,0x0d0707963952f2fba59dd06f2b425ace40b492fe,443.7351224961381,587,245377,0
3,0xab5c66752a9e8167967685f1450532fb96d5d24f,331.84017566802686,402,443233,0
4,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,747.7011621881908,978,18360,0
5,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,1031.186385547109,865,472190,0
6,0x564286362092d8e7936f0549571a803b203aaced,23892.71259277893,502,109404,0
7,0x0016eccecffc25b94050187017eb59fa05c029aa,126.40746726653985,54,6180,0
8,0xbe708d227f6dfa0b8f2698bf543b949dfe4e28fb,269.0298061814741,202,1462,0
9,0x9b77ab003d44b9b9cb47fa6a00276a23c05b49a5,2089.859796325395,54,3,0
10,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,11252.425438804923,561,105544,0
11,0x1062a747393198f70f71ec65a582423dba7e5ab3,326.1243848411852,404,443465,0
12,0xeee28d484628d41a82d01e21d12e2e78d69920da,347.25328215457034,357,294350,0
13,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,16018.851240973225,939,330486,0
14,0xe135eca22512f5281b06d4f4242a43b84eeec710,440.467578711052,121,1616,0
15,0xd2d30e6febdcc00fe049ac23d208af81d38cddf1,132.60328101148085,50,5,0
16,0x7967455bee8f46046174bb3a93a512d820abe497,620.5356774582428,60,19,0
17,0xe93381fb4c4f14bda253907b18fad305d799241a,236.96624670466545,383,279030,0
18,0x274f3c32c90517975e29dfc209a23f315c1e5fc7,975.8472378901836,654,17755,0
19,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,25161.14143771417,406,99751,0
20,0xc9dce4f718f6de4499efb01cfdc297b3f95c8997,10154.02308975,52,2,0
21,0xd7b9a9b2f665849c4071ad5af77d8c76aa30fb32,1925.7489990510712,91,1951,0
22,0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,273.8553174279805,161,30446,0
23,0x521db06bf657ed1d6c98553a70319a8ddbac75a3,148.88167081020345,366,11608,0
24,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,119.07815153911784,563,32577,0
25,0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,290.07252191845663,360,302648,0
26,0x5c985e89dde482efe97ea9f1950ad149eb73829b,320.9794638359,361,27568,0
27,0xa12431d0b9db640034b0cdfceef9cce161e62be4,224.34637280684072,773,10548,0
28,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,1289.825003970859,370,6005,0
29,0xbdc21fae769d7f5469993d8e83b465495d88cfc0,1750.9812680053162,71,126,0
30,0x3e9afaa4a062a49d64b8ab057b3cb51892e17ecb,415.3685472711382,113,11437,0
31,0x46705dfff24256421a05d056c29e81bdc09723b8,303.0914309959459,395,280606,0
32,0x7e1844dd45bb5268c0c827c7fd81078c96e89aab,245.56042357386175,49,7626,0
33,0xc2906c3c14d89bdd7bfc22a3f6c1f375664aaaab,12691.715508877984,56,2,0
34,0x1b3d794bbeecd9240f46dbb3b79f4f71a972e00a,293.0892169295927,150,7880,0
35,0x934176c1aca721cfa26521451279f5d5a44c7d96,172.99932858060544,100,11,0
36,0x742d35cc6634c0532925a3b844bc454e4438f44e,395739.846145765,299,921,0
37,0x7b74c19124a9ca92c6141a2ed5f92130fc2791f2,821.6479405450873,155,16988,0
38,0x04f062809b244e37e7fdc21d9409469c989c2342,420.5854959889668,112,1143,0
39,0x6794471ebc084a4ca462c506afeabb93d9657c25,339.02913177331425,50,972,0
40,0x20312e96b1a0568ac31c6630844a962383cc66c2,317.23891724093005,51,1567,0
41,0xf3860788d1597cecf938424baabe976fac87dc26,358.9306443901856,220,247,0
42,0x0a98fb70939162725ae66e626fe4b52cff62c2e5,312.7141186212097,60,294200,0
43,0x4de76b3dfd38292ba71cf2465ca3a1d526dcb567,9229.08375960506,54,2,0
44,0x242161026d3db889df2573b50959e5d705c9910a,125.96988223847359,54,24,0
45,0xd551234ae421e3bcba99a0da6d736074f22192ff,15332.142861312099,543,105056,0
46,0xfb626333099a91ab677bcd5e9c71bc4dbe0238a8,1469.4524075839186,80,3,0
47,0x014d63f0118576f6ef5a47b53b0f3f9efc5a5dd1,16636.169585109998,62,2,0
48,0x63a9dbce75413036b2b778e670aabd4493aaf9f3,270.5157245822757,121,4574,0
49,0x3caf983accccc2551195e0809b7824da6fde4ec8,100.33595838704095,54,9,0
50,0x1808f5a534e71d26011119c21d078828f49d57d0,5300.000388214915,50,2,0
51,0x0000000000c90bc353314b6911180ed7e06019a9,303.03102823829323,63,2981,0
52,0xf93c4111831fed4c6c437bb03413fc29a60312b7,421.378640906,62,5,0
53,0x8b505e2871f7deb7a63895208e8227dcaa1bff05,61216.6,82,2,0
54,0x3ab6a1687c1205cd9da74f079c84deb3369a6124,16055.177559,56,2,0
55,0x6427fc587266813b6993ae4c8de672640cb3b43f,187.71443191965426,133,216,0
56,0x229d6e6ee63fd9126ae44ad990f6c18cfb7ca93a,193.6963419941041,66,10,0
57,0xb674cac98f179f2caf34d5cd37cf0a7f46690984,3129.3191429237513,54,195,0
58,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,274933.94400869816,951,422637,0
59,0x60aed9990a5c2410c3ae34852acd31551f6ee4ab,525.0689785032746,57,12,0
60,0x8e24d24684595ad7bf09aaa854684e7fff8a82c9,100.09608801487798,72,8,0
61,0xbf79e9e31b530441dc3c9daeb985a0f2f64392b1,291.5525906516643,126,4781,0
62,0x53414d2c9bb833404adaa23bd0e059f44936d162,2000.1890770757777,68,9,0
63,0xdb46caac7b3264affd23da151d9c8b8aa73357c5,500.020085576,54,5,0
64,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,497.5415424456599,97,3,0
65,0xedb182bd13948eb26c824fc9f9f13d89c7a14d48,114.21069189309806,109,48,0
66,0x0f10926a83c0a3f2b094b4e9382138710278e059,235.71897801076088,113,1878,0
67,0xeac181c62ac45ba08116aee5e57e0fcf6cd613a3,841.4177109539233,73,31,0
68,0x187bcc3f1ea2ce8e10cf395611a58f2b23c13863,715.2967115237777,54,8,0
69,0x6c6565c09480851d1dbe1d338645c1e6618c12ae,200.18252601559536,48,8,0
70,0x0cde85455f818cb9aad901e5f2df9676cb3ddbf7,506.79455285455776,129,8,0
71,0xe1ad30971b83c17e2a24c0334cb45f808abebc87,270.5512543972734,68,25,0
72,0x12afbcba1427a6a39e7ba4849f7ab1c4358ac31b,20000.0,51,2,0
73,0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,244.78890418616837,399,443406,0
74,0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,181.19101584222028,49,695,0
75,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,135.65169562558444,290,174660,0
76,0x0fd297255ec21fbb88dee67cb8bbc372a593c539,1435.2814467612407,73,10,0
77,0x6e744ebd827943af73be2c626bd4d99639936462,3063.361009328398,49,2,0
78,0x35e6d4701852c80845ea22767b52f23f329156b5,719.6529220077779,48,2,0
79,0x075af08596c26a81384e1f06757f96c96bb1e896,247.20273022230415,65,1087,0
80,0x0ff24158220a14398f047a80a513617ddc4f5289,38505.452984755066,88,54,0
81,0xa43d2e05ed00c040c8422a88cb8ede921a539f92,59013.14017755,79,2,0
82,0x6a25f40929a1fe4984f914b9d87e2c461cce369b,54999.921258999995,68,2,0
83,0xcc062b8a3086bd7466ecf32e4e4e648a16ad8ab1,250.133833652,55,11,0
84,0x32bd6a39d28604df48100c1a764e009ebb4f2552,116.52923431601575,65,103,0
85,0xaf493fd806659ff6c709973c8b1d662e5f9bc1eb,394.95784642094674,63,5,0
86,0x274d9e726844ab52e351e8f1272e7fc3f58b7e5f,125.80014725636447,78,131,0
87,0x96194d4c17f17c6d25b06e73156851d5e0181aeb,498.987314677,64,6,0
88,0x324cac984d3f7f40bc00ba9621d341769c90a97a,4761.63677847142,95,6,0
89,0x000000000000000000000000000000000000dead,12526.212442143125,1070,7130,0
90,0x69e0e2b3d523d3b247d798a49c3fa022a46dd6bd,135.648722021614,50,54,0
91,0xd821a193b7e97adc2ff3d3d72705d172d36856e5,11004.91696266,54,2,0
92,0x3ee4361b72c7ecac056f2dfb32449b142d937675,9284.984105368778,56,2,0
93,0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,4474.032720414972,311,8815,0
94,0xbe6cf5343101b6756ee8cf3e851a7399c70fac04,2541.7832662478,49,2,0
95,0xa178ff321335bb777a7e21a56376592f69556b9c,8382.949189049472,53,6,0
96,0x7e66caec97ba58cd469650f1380b55013916e152,110.457011218,110,20,0
97,0xec5af3c24262f2d2afd5251fe3ea28e67148ef70,182.4465690938265,67,65,0
98,0x5da487ea7278e25288fd4f0f9243e3fa61bc7443,213.33748752861848,58,20,0
99,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,251472.67960489498,376,21,0
100,0xd98b6dde67ec4cd8a689300990013fb8125f9403,272.5103535099621,86,9,0
101,0x94c4c463960082abed5430554e3698a19e3c9f6f,137.7889869566322,65,60,0
102,0x5531342f0d31a6a9aaaabf171bf59f568ad00c83,164.9344479177737,83,20,0
103,0x9e14e0c458cfdbfa3d78eb662ba828f515f4cb52,199.93352700909864,104,7,0
104,0x88ebf152293dbaeb401f1756b9e06a169621a4e6,159.440996361548,68,21,0
105,0x101f8e3d561d6ff98568bb1364974c16062f1648,240.18607482997908,104,8,0
106,0x18ee0ee7138a419b1afa46c7afe003c553f20791,900.6839789939036,55,4,0
107,0x1575091b949c3143dbfd45154645448698ae7267,2400.9790952146045,56,38,0
108,0x178503a849817119c3cd69f705ef2612acb062fa,660.9785319802678,64,150,0
109,0xb2d8fcb633b9ffa9f6251d07d3d6c9d54752d77e,2692.947455619778,50,13,0
110,0x07f1d450b16e53302931c5362ee0ab41f2978541,50000.150118,81,2,0
111,0xbcf26bb97b5e3cf18d3e5b4afc6887e39a3e331b,442.4249283125411,75,18,0
112,0x6d0a3c72681a3ad9c1a3bcddac2fc2be47bcbb26,2800.3889073262812,87,23,0
113,0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,939.005336916561,214,7059,0
114,0x3d9d67e45989e0eda022faadecee9dd5c6d2e93f,741.1887123080138,75,6,0
115,0x9f304c09b3104d1070ef25466457376873ceee5d,201.32716020277778,57,6,0
116,0x3a723e58c4808dde4591543282adc7d6b378715b,167.10139217067686,77,299,0
117,0xa8243e3b6a9666b17a701645eaa3fc1c85e82385,5000.990466,60,2,0
118,0x12d0b1391c0340b76d0135a385884610522670ae,180.49072063234652,67,26,0
119,0x2eded592ab1f5d8daa8512cafde3955154c141f8,2200.0140764109997,120,51,0
120,0xd24400ae8bfebb18ca49be86258a3c749cf46853,50343.3668799832,217,13521,0
121,0xa6346181e41c42435e5c624856c41dcd07b139d6,113.89251251029285,74,12,0
122,0xcafe1a77e84698c83ca8931f54a755176ef75f2c,34615.06913573863,118,99,0
123,0x293079a4c5f7a39b83aae76dda0202f5a4ead0fa,187.0499430184357,49,8,0
124,0xda50ba5e12c01bbef277bb7261c61c5f56a77c26,16023.814159,55,2,0
125,0xc91795a59f20027848bc785678b53875934792a1,4041.3859844594745,245,81,0
126,0x87ef5a68ba49d4c2e60ea6352d82c0a612b38aaa,250.6569269142137,75,11,0
127,0xddbd2b932c763ba5b1b7ae3b362eac3e8d40121a,40891.62685493,74,2,0
128,0x0f98bb0b1633f697aa31d02dbbb64c9d49d4c7b3,193.951688007724,71,6,0
129,0x3093bad097d1a5fc6fd264ef2d03eb4fba29a7e7,1150.0645418847778,51,2,0
130,0x6d63e62bfd63494f3db69b00a280f60bf13e7897,12329.799540574786,61,2,0
131,0x8759b0b1d9cba80e3836228dfb982abaa2c48b97,63734.36834813995,86,8,0
132,0x06fed18718975d9e178e0c0fea35c18eac794c3f,67288.93294507364,113,277,0
133,0x72515452db16e9cdc1e6f1841fc6e07fab81c195,145.43658039605464,46,28,0
134,0x0a2cbdbe590fad10a5001ed004b4dfe2f88c07bd,2999.9861610000003,48,2,0
135,0x37c3c6f5738a96041fc79772607c7916e355da2a,397.8371,104,13,0
136,0x376c3e5547c68bc26240d8dcc6729fff665a4448,114939.00001000777,71,4,0
137,0xcbb818779f3446522c323266623d15ad7e0544f0,8991.9779441655,70,5,0
138,0xd55a7e469b72a1cc819202052d27b0e5e162f88b,132.2016848018738,48,2,0
139,0x703226d01f5e931b9ab07957ec9883a0b4243971,1649.8807950397543,66,22,0
140,0xf6b6f07862a02c85628b3a9688beae07fea9c863,104.30978595264627,68,50,0
141,0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,250000.01704597133,134,4,0
142,0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,382.1780282831,332,30587,0
143,0xbf0c5d82748ed81b5794e59055725579911e3e4e,694.9619427818138,59,5631,0
144,0xd88b247772929ccc9dcd5178a1c1a2191aa3f0e6,159.6140491792123,102,31,0
145,0x42fcf8c238b71f6a3e3a708c98b01306189c9766,900.0655768087778,46,4,0
146,0x0487ced23eecbcc7f8881aee40df635b63706da6,7769.63375,46,2,0
147,0x2ce5f9f52c1eec9a1183f91139c59b485ff39dad,288.6857550930568,55,25,0
