ethereum_address,ether_balance,unique_tokens,unique_transfers,mined_blocks,outgoing_txns,incoming_txns,total_eth_sent,avg_eth_sent,total_usd_sent,avg_usd_sent,total_eth_recd,avg_eth_recd,total_usd_recd,avg_usd_recd,active_months,monthly_outgoing_txns,monthly_incoming_txns,monthly_eth_sent,monthly_usd_sent,monthly_eth_recd,monthly_usd_recd,contracts_created,contract_txns_sent,incoming_avg_time_btwn_txns,incoming_std_time_btwn_txns,outgoing_avg_time_btwn_txns,outgoing_std_time_btwn_txns,num_tokens_used,Entity
0x0d0707963952f2fba59dd06f2b425ace40b492fe,443.73512249613816,587,245377,0,479582,492072,2437018.042751326,5.081546102,1066723941.6483476,2224.278520978801,2517130.833423183,5.115370989,1100754044.4362972,2236.977605790013,8,59947.75,61509.0,304627.255343916,133340492.70604345,314641.354177898,137594255.55453715,0,0,35.793619213487474,841.9819047408803,36.75822228153331,91.15655318609468,281,Exchange
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,1031.186385547109,865,472190,0,392467,312401,5418637.39363095,13.806606399,2131016623.0491662,5429.798232844175,5568677.405504098,17.825414789,2250757114.2946258,7204.705216355274,10,39246.7,31240.1,541863.739363095,213101662.30491662,556867.74055041,225075711.42946258,0,0,77.36501280409729,6066.6342458569825,53.00636488256302,469.8340391335432,341,Exchange
0x564286362092d8e7936f0549571a803b203aaced,23892.71259277893,502,109404,0,615240,678,5823039.74567252,9.464663783,3502765313.8385167,5693.331567906134,5917479.884081032,8727.846436698,3551856926.461346,5238727.03017899,11,55930.90909090909,61.63636363636363,529367.249606593,318433210.34895605,537952.716734639,322896084.22375876,0,0,39191.24667651402,60944.56700387371,43.327103775930965,1286.0060336067977,261,Exchange
0x0016eccecffc25b94050187017eb59fa05c029aa,126.40746726653984,54,6180,0,2998,481,4479.533394411,1.494173914,1205682.3393501127,402.1622212642117,5220.420857497,10.853265816,1761782.5718463315,3662.749629618151,7,428.2857142857143,68.71428571428571,639.933342059,172240.33419287324,745.774408214,251683.2245494759,0,0,32761.10208333331,116946.6016441203,5212.212212212222,19082.175526253908,40,
0xbe708d227f6dfa0b8f2698bf543b949dfe4e28fb,269.0298061814741,202,1462,0,10164,243,20771.819829851,2.043665863,4969486.011578589,488.9301467511401,306.513218294,1.261371269,109614.44759829264,451.0882617213686,8,1270.5,30.375,2596.477478731,621185.7514473236,38.314152287,13701.80594978658,0,0,77338.57438016526,178129.84087407208,1845.2062383154553,6596.557607033628,166,
0x9b77ab003d44b9b9cb47fa6a00276a23c05b49a5,2089.859796325395,54,3,0,5,108,60.85,12.17,10071.314199999999,2014.26284,2040.442698748,18.892987951,727977.970310835,6740.5367621373625,30,0.16666666666666666,3.6,2.028333333,335.7104733333333,68.014756625,24265.9323436945,0,0,687237.6915887849,2316082.730738385,7132345.75,8472997.173794696,32,
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,11252.425438804925,561,105544,0,647655,727,6159822.80837053,9.510963103,3714533640.293781,5735.3585478281175,6276247.84291649,8633.078188331,3767628985.206454,5182433.267134052,11,58877.72727272727,66.0909090909091,559983.891670048,337684876.3903437,570567.985719681,342511725.9278594,0,0,36676.98898071627,53315.681075205095,41.152388466681295,1296.313000422134,310,Exchange
0x1062a747393198f70f71ec65a582423dba7e5ab3,326.1243848411852,404,443465,0,3909,1974,41965.969,10.73573011,12622832.3783,3229.1717519314398,42151.995633922,21.353594546,12567648.856582182,6366.59009958571,19,205.73684210526315,103.89473684210526,2208.735210526,664359.5988578948,2218.526085996,661455.2029780096,0,0,22581.909782057777,382395.2738616114,11690.055527123846,159279.79919186787,215,Exchange
0xeee28d484628d41a82d01e21d12e2e78d69920da,347.2532821545704,357,294350,0,53893,12809,1767690.47107525,32.800001319,495967783.1644708,9202.823802061006,1859037.515996922,145.135257709,519213223.1195295,40535.031861935364,19,2836.4736842105262,674.1578947368421,93036.340582908,26103567.534972146,97844.079789312,27327011.74313313,0,0,3342.9288725796373,98345.97843011958,848.5321197951455,22128.860781730174,225,Exchange
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,16018.851240973225,939,330486,0,5488707,235407,25691539.593409785,4.680799976,9921043401.635025,1807.537440354093,3010143.011600555,12.786973249,20315340.132004518,86.29879371473486,40,137217.675,5885.175,642288.489835245,248026085.0408756,75253.575290014,507883.50330011296,13,1326134,434.1581990263628,26845.844342668348,18.729695669616817,406.72853114471644,503,Exchange
