,ethereum_address,ether_balance,unique_tokens,unique_transfers
0,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,17959.840522591214,3935,117342
1,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,19367.23713678615,1511,54180
2,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,15640.918064149928,759,330486
3,0xa12431d0b9db640034b0cdfceef9cce161e62be4,1027.6183766652603,734,10548
4,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,112453.18325426143,78,11869
5,0x564286362092d8e7936f0549571a803b203aaced,9952.86392983493,439,109404
6,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,1072.771789489109,697,472190
7,0xd551234ae421e3bcba99a0da6d736074f22192ff,22994.5580502751,468,105056
8,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,23608.498088077922,488,105544
9,0xb0cf943cf94e7b6a2657d15af41c5e06c2bfea3d,2848.924300753772,181,5363
10,0x86904e32b0d7a8e1ab4dc4a02bae7ff93e9a2d33,7067.772411279,27,3699
11,0x5c9b61344045d7362c7a7dfb31ac880825153ba3,3279.409254,44,3
12,0x4501205a75f3e6a99f1320b802fda91fb5499b11,3054.522982579466,86,16
13,0xf2d4766ad705e3a5c9ba5b0436b473085f82f82f,4344.265859885388,99,477
14,0xd715cace7ae58e6fcb748ddd6f768a7dc15bf2da,1500.8239800000001,41,2
15,0x000000000000000000000000000000000000dead,12526.212442143125,710,7130
16,0xa4a27aea78d5ef426c41e14ede94b1db2746f437,5721.138486387778,55,2
17,0xb9ee1e551f538a464e8f8c41e9904498505b49b0,2223.4207595978464,200,15039
18,0x6a7b2e0d88867ff15d207c222bebf94fa6ce8397,20000.402518000003,67,2
19,0x00f2b67b5a5ec2ff88b2be7d5a8d1a39d5929237,2719.56726449,7,179
20,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,30640.576048468967,358,99751
21,0x742d35cc6634c0532925a3b844bc454e4438f44e,413547.619816075,252,921
22,0xed69da639c1cb32e4899cf5baf7cb70c197c83d7,15630.031288450406,65,3
23,0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,1004.0594549593485,110,1517
24,0xd2786bc8b92217f515b026534c46b341d6322d30,3688.97228218,9,358
25,0x592a4668be1634f66903d1985d4f13989f7ed106,8942.283912162,24,1
26,0x957cd4ff9b3894fc78b5134a8dc72b032ffbc464,44755.89166136084,773,3085
27,0x5691dd2f6745f20e22d2e1d1b955aa2903d65656,1969.606,35,2
28,0x811cbd7acaf2710f4747bfcfba156637643ce9f5,2986.55646995,41,2
29,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,1113.137026786232,169,847
30,0x625a7e227711ec95e928a725bcdb5a74f3faa39c,8953.758354089414,54,7
31,0x88884e35d7006ae84efef09ee6bc6a43dd8e2bb8,1468.1028960935328,106,16
32,0xb9c764114c5619a95d7f232594e3b8dddf95b9cf,1288.8909830869363,56,11793
33,0x65b0bf8ee4947edd2a500d74e50a3d757dc79de0,7597.100284176017,95,10949
34,0x0678f33c47ef32a5216607a3414ac370083cc74c,5052.678768505,55,2
35,0x72cd048a110574482983492dfb1bd27942a696ba,2000.0,34,2
36,0x3fcb02a27dc60573a0cb9bff9528fcd77e78d734,1568.3136055,26,2
37,0x651fd1c51428d1c67d267e5f3c518bd0eab94ef7,1422.772638179,24,3
38,0x976868c1de3b3ef448ec5e20e6a8470508b9467d,3666.3838127686295,44,53
39,0xaa47a4ffc979363232c99b99fada0f2734b0aeee,3620.7456670106817,50,2
40,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,4147.135855964951,60,7
41,0x167a9333bf582556f35bd4d16a7e80e191aa6476,19545.266952124384,270,28429
42,0x345d8e3a1f62ee6b1d483890976fd66168e390f2,3312.975533217,14,349
43,0x8615f13c12c24dfdca0ba32511e2861be02b93b2,3424.0393512980813,54,2
44,0x382591e7217b435e8e884cdbf415fe377a6fe29e,8022.000000000001,46,2
45,0x532d90e829680721a2edb4cdb072ec45dab1333c,50000.221559,59,2
46,0x73bceb1cd57c711feac4224d062b0f6ff338501e,1281489.6615716019,24,2
47,0x16e2337f283ca3733481ca1c0ae90af6c0deddbd,19999.997910000002,2,1
48,0x52350fcdf63931784c10c4ad7f45d5b7d3b2c70a,7900.793769036,31,1
49,0x0412ed8438b5fae246606909ef8ba365f9103783,5677.411890906461,29,58
50,0xc6bfce8cead4ecc595ba227b9527afa914dd8183,2162.760112133887,56,20
51,0x0001120c65e60078fef36fe278aad3aa2cddb172,1331.802108,42,2
52,0xcf3c96b0f299208b085fd3746ffb9a6fe5482523,10942.4135670783,57,2
53,0x46340b20830761efd32832a74d7169b29feb9758,14642.632975081453,81,7608
54,0xb1338c7e2b037ab93fa9ff49123b7fd3bf9375df,1188.6774357000002,42,2
55,0x13eddc15219a7bd4083ea406585bef5f6d4005d2,3000.0,49,2
56,0x7286e89cd9de8f7a8a00c86ffdb53992dd9251d1,1940.0,39,2
57,0xd8a1763a3bfa8426d1af5172276b65d42e6f4041,3937.875867942767,81,6
58,0x9aba2b5e27ff78baaab5cdc988b7be855cebbdce,7986.99496,44,2
59,0x40f0d6fb7c9ddd9cbc1c02a208380c08cf77189b,199580.321715139,26,2
60,0xf1f94c0ef1e8e1b2c15f37f9ec7166eb76a8170e,2764.520658167,50,18
61,0x12ec5befa9166fa327d4c345a93f0ac99dd2a7d8,5019.862257412311,44,2
62,0x0fd297255ec21fbb88dee67cb8bbc372a593c539,1435.2814467612407,72,10
63,0x1a2046ce92d6a9e8276e1d9148dfbce047fad61d,2500.0,13,2
64,0x2c2bb98dde239c868a36b874cdba1afbb9bb920e,2515.957500834,42,2
65,0x4de76b3dfd38292ba71cf2465ca3a1d526dcb567,9229.08375960506,53,2
66,0xecf4830a02f093589b37f16715234198ac9a6767,6707.8,46,2
67,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,430340.5150906399,174,26
68,0x49a89a74b74f9665deff6a2f111b631ba82a2908,1002.5823288317779,44,2
69,0xbfab6fa35e0e3dfee69c2176276a7d62130c4077,4653.975258000929,64,39
70,0xd1c14ae755f220ca1477da5044efc2a2032a43ff,10000.0,19,2
71,0x8146545681dfda7e469a2708463888f506520900,1797.7971500004976,77,5
72,0x97d815552076e8695ca6acdd5841a1933c47f990,3118.9716071612465,20,63
73,0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,254248.45391694,103,3
74,0xace6f2826190879fc186197687fc15a544f389ed,1507.2647474552643,47,2
75,0x1714fbcdc05062eed802ae6ec8558bbe3a03d77a,1000.003824404254,19,37
76,0xddb5cd2201266bd8f99c0831d1303041a7229bd3,1037.99,40,2
77,0x81b4d64bb3dd19d14f4e358ad4d9b5a6c13f4f23,25000.0868,18,2
78,0x976fd26bc177542c3ade3aa28b374f866e7dde4b,1669.9786726116529,105,126
79,0x32f0d0eb821aa92e24b4389cedee02c2b6464e8c,1358.3794275110001,22,3
80,0xc289192f2d8318d4eea976b44d912966e46386c7,1169.483053893875,34,8
81,0xb8d2b921c0ea0ca27266fa63907a079ef25084d0,48544.95103088163,63,461
82,0x0e5968cd0a732567669312afe3b1689fc9792dd6,39260.4417606,63,3
83,0x5f572be17df79769c3a42d293b98effed5982578,2602.6514687412146,44,2
84,0x7b1ee0371f62904afebea06ba3bbc00810f64281,6381.053459625,69,3
85,0xeb3b9f824c8551a58a427aeaaa1044866bb5e28e,15636.852017137538,54,15
86,0x38c385df37626ffc96cf59bd3f399c24be74a259,10269.19030599,55,2
87,0x4baf012726cb5ec7dda57bc2770798a38100c44d,145000.09839497446,96,3
88,0x324cac984d3f7f40bc00ba9621d341769c90a97a,4761.69961898742,94,6
89,0x795fd23cc6700a61bd3fb33e23b92fa3fc509cfc,1213.9616175131607,64,3
90,0xd6143d57e02e0afc829da5b86e20f4292777ab65,4460.2154503626625,35,2
91,0x5e731b55ced452bb3f3fe871ddc3ed7ee6510a8f,3000.0,37,2
92,0x187e3534f461d7c59a7d6899a983a5305b48f93f,16584.06241827239,85,78
93,0x795841fd580988f28bf6a681101920e074fd6ebb,1605.9697402368827,77,14
94,0xef58321032cf693fa7e39f31e45cbc32f2092cb3,3188.6566791323594,162,14
95,0xb1e090ffdcb40bef9882ba4e317c18d2db953e76,1150.0072408600001,30,95
96,0x40252ea72d9e6fc59f14bbd33a9e2859d138afb3,7000.0051054155565,38,2
97,0x51b213cec2ff91a98fd329c2f91e03865412ecf4,1169.9900000077778,40,2
98,0x81cce98c1c4269e4971f33db03366af9f5569323,3386.2269587829946,40,9
99,0x6586ce3d543e0c57b347f0c3b9eeed2f132c104f,100000.00001,81,3
100,0xfb626333099a91ab677bcd5e9c71bc4dbe0238a8,1469.5511289399185,66,2
101,0x6dd5a9f47cfbc44c04a0a4452f0ba792ebfbcc9a,14700.03767539901,70,12
102,0xbd9064fdb9a4274df760f8fc14abaf6b86d17f12,1378.4214170280875,80,20
103,0xaf32bd019652a1bfc0a0680d643e88a72ec00d99,6069.723744,55,2
104,0x9d2406b34c48b75e0091a559851d611f00574438,2756.4185243477777,40,3
105,0x459393d63a063ef3721e16bd9fde45ee9dbd77fb,1968.818,35,2
106,0x118c18b2dce170e8f445753ba5d7513cb7636d2d,8800.0,53,2
107,0xfc1ccdca6b4670516504409341a31e444ff6f43f,1084.1368366459565,42,2
108,0x4f48a636d70871da498b2e3c7c091280dd685e38,6397.879325924494,29,10
109,0x299bf2ed3f500deca7714ee91311ebb824e7ecff,1478.4467256581572,84,20
110,0xaf3aa7b4cecb92995cd240a849c9dae70e09186d,11781.267,52,2
111,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,2296896.7496170844,174,71
112,0x5ed9db249e4f55c0c810f57510b02eb9a49bed88,1109.98064589,29,2
113,0xb8040536958d5998ce4bec0cfc9c2204989848e9,24472.42001,65,2
114,0x88195b961e64f0f16420518196d72bf40315a557,4431.608586766523,86,20
115,0x5e8e4df18cf0af770978a8df8dac90931510a679,2000.0,34,2
116,0x4850872e7487a3d1788e8f47b6a89e35b76bca68,1819.065691069,37,2
117,0xddfcca13f934f0cfbe231da13039d70475e6a1d0,1000.169,30,2
118,0xbcd99edc2160f210a05e3a1fa0b0434ced00439b,1113.97648,42,2
119,0xe8e8f41ed29e46f34e206d7d2a7d6f735a3ff2cb,40515.98706440981,89,19
120,0x48418dba9e693a812a057443ed145c30b400cf34,2400.979714,38,2
121,0x035483926d143b394eb9fc8b974b44ebf338dfc7,14651.83275609772,99,68
122,0x4a798625c037c7fa470571355e73943aef062fae,17233.791132288974,69,2
123,0x83d0e4b06f37f8eddc2e52f8836c09f1f54135f1,2344.196846484778,41,2
124,0x25ac3170f9e3ee54beaece8da20a2784f25cc49e,4000.194204481498,46,4
125,0xec5feafe210c12bfc9a5d05925a123f1e73fbef8,48879.111552368675,76,5
126,0x66f820a414680b5bcda5eeca5dea238543f42054,288000.07988109597,63,17
127,0x7380602fbe6d34acfa4be0cd46d238b89e6ba87d,2023.6365538696436,35,19
128,0xc13a2c835d6edf0127e0a5ed04f351e4fea14349,12980.352384997668,38,3
129,0xad14cb0885f7c412cac7db8e710018f58d983f7c,4981.987598,30,2
130,0x76331e30796ce664b2700e0d4153700edc869777,2000.0,33,2
131,0x0da3cb3046f72fcbb49edf01b04ab6efc6c0d8dc,2576.3536097365704,35,2
132,0x81d80ae9d6670cd9ffd28812e2360535b1cec339,1572.2969273464403,47,5
133,0xf2d00e3080e1d9fd5e47f54188434e24cfe54da2,1906.803586756796,13,2
134,0x00514112b64626360445d45dae83327c989face2,5280.65069317448,96,38
135,0x37bc8783ab144fb47aaa0a5cb9cd859f5aaa395d,2079.0,15,2
136,0xa05b0ecd3a4f5274942f5d093ef395b1c30c5dda,1500.0010108677777,48,2
137,0xe4dee33b5e191af8b8610025af52b3e00f2d22cf,2976.9999999999995,31,2
138,0x0c8f66c6017bce5b20347204b602b743bad78d60,2000.0,35,2
139,0x95147ffdc4aef0ad4edd4900f0365f23f4550ab8,1508.484841594089,31,2
140,0xf274b459dc892f7eb919cabdc5126f0dfd1f010d,3225.2829892159957,56,4
141,0x3e8af18d93b0e0e6eb272c5d5538d6be7f047d2b,3014.4175228455997,47,2
142,0xb14ddb0386fb606398b8cc47565afae00ff1d66a,2973.024,38,2
143,0xef81b7edcef1c9814c2a76ded1023953dadc2c66,3268.3095935334286,15,2
144,0xb6ed81f1ab97f3995de2a404540f7812705c2cdf,1129.521429,34,2
145,0xaab72305897ddf54ef56040e9181f29c668f1c6e,19539.799891086,25,1
146,0xc472c6a0a6853dc29ee1b374bbc0d73ee5bab86e,2272.690856748814,40,2
147,0x6af8e55969682c715f48ad4fc0fbb67eb59795a3,2000.0,34,2
